county,apn,acres,alim_yil,alim_ay,alim_fiyat,satim_yil,satim_ay,satim_fiyat,carpan,ay_fark
Bay,36883050001,0.133,2024,04,260000,2025,06,310000,1.19,14
Citrus,18E20S130020  02240 0140,0.364,2025,03,26000,2025,04,31000,1.19,1
Charlotte,422329401001,0.263,2024,12,42000,2025,02,50000,1.19,2
Citrus,18E17S100010  00400 0490,0.321,2024,08,21000,2024,10,25000,1.19,2
Citrus,18E17S320020  01890 0010,3.794,2025,01,134500,2025,05,160000,1.19,4
Charlotte,412313252008,1.250,2024,01,43900,2024,08,52000,1.18,7
Citrus,18E20S130010  00520 0110,0.310,2024,12,22000,2025,02,26000,1.18,2
Brevard,29 3730-GV-1327-16,0.260,2024,02,31000,2024,04,36500,1.18,2
Brevard,28 3636-EX-665-17,0.260,2024,09,66000,2024,10,77500,1.17,1
Brevard,29 3707-GN-521-15,0.240,2024,01,46000,2024,12,54000,1.17,11
Charlotte,412132429014,0.369,2024,02,23000,2024,03,27000,1.17,1
Brevard,28 3623-KR-2448-2,0.240,2024,07,48500,2024,09,56900,1.17,2
Brevard,29 3601-25-1095-3,0.230,2024,04,36000,2024,09,42100,1.17,5
Brevard,29 3603-KL-1730-18,0.230,2024,03,30000,2025,04,35000,1.17,13
Charlotte,412118206003,0.187,2024,03,21000,2024,07,24500,1.17,4
Charlotte,412002457001,0.940,2024,01,210000,2024,05,245000,1.17,4
Citrus,17E19S36      4B000 0280,0.338,2024,03,15000,2025,05,17500,1.17,14
Brevard,28 3627-KN-1784-5,0.290,2024,05,40000,2024,06,46500,1.16,1
Bay,30808125000,0.132,2024,10,186000,2025,04,216000,1.16,6
Charlotte,412333451010,0.184,2024,02,12500,2024,11,14500,1.16,9
Brevard,29 3635-KS-2554-17,0.270,2025,03,28500,2025,04,33000,1.16,1
Charlotte,412015101008,0.172,2024,04,22500,2024,05,26000,1.16,1
Broward,494229230910,0.080,2024,04,65000,2025,02,75000,1.15,10
Brevard,29 3732-GU-1198-9,0.230,2024,03,33000,2024,11,38000,1.15,8
Charlotte,412025352015,0.202,2024,04,33000,2025,01,38000,1.15,9
Citrus,18E17S320060  02480 0190,1.062,2024,03,48000,2024,04,55000,1.15,1
Citrus,18E20S130020  02320 0230,0.359,2024,05,25500,2024,09,29200,1.15,4
Citrus,18E17S100050  05250 0110,0.287,2024,06,20000,2024,11,22900,1.15,5
Citrus,18E18S160040        0130,0.237,2024,03,21000,2024,10,24000,1.14,7
Bradford,00528A02400,10.010,2024,05,124900,2024,12,142500,1.14,7
Brevard,29 3732-GT-1122-15,0.240,2024,04,33500,2024,11,38000,1.13,7
Brevard,29 3613-KK-1579-15,0.230,2024,04,34000,2024,07,38500,1.13,3
Brevard,29 3612-KH-1660-5,0.230,2024,06,40000,2024,10,45100,1.13,4
Charlotte,412015402006,0.494,2024,06,40000,2024,11,45000,1.13,5
Citrus,18E17S320030  00610 0250,1.048,2024,12,58000,2025,02,65000,1.12,2
Charlotte,412011279002,0.230,2024,07,19500,2024,08,21800,1.12,1
Brevard,29 3728-KQ-2031-18,0.430,2024,04,85000,2024,11,95000,1.12,7
Charlotte,412333455023,0.184,2024,06,13000,2025,03,14500,1.12,9
Brevard,28 3626-KR-2524-7,0.270,2024,04,48000,2024,06,53500,1.11,2
Brevard,29 3612-KH-1658-15,0.280,2024,01,35000,2024,12,39000,1.11,11
Citrus,18E17S320030  03330 0130,1.004,2025,02,62000,2025,04,69000,1.11,2
Brevard,29 3732-GU-1185-13,0.280,2024,11,36000,2025,01,40000,1.11,2
Brevard,22 3535-01-*-159,0.220,2024,03,240400,2025,05,266000,1.11,14
Broward,494222093253,0.186,2024,08,230000,2025,03,254400,1.11,7
Brevard,23 3528-01-12-17,1.380,2024,04,14500,2025,01,16000,1.10,9
Brevard,29 3733-KQ-2061-17,0.230,2024,08,39000,2025,03,43000,1.10,7
Citrus,18E17S320030  02990 0060,1.077,2024,01,50000,2024,02,55000,1.10,1
Bay,31424554000,0.000,2024,02,260000,2025,05,285000,1.10,15
Charlotte,402326476002,0.115,2024,09,11900,2025,04,13000,1.09,7
Citrus,18E17S320010  01390 0250,1.291,2024,08,72500,2025,03,79100,1.09,7
Bay,08415005121,0.580,2024,02,33000,2024,06,36000,1.09,4
Bay,26471100072,0.000,2025,02,55000,2025,04,60000,1.09,2
Citrus,18E17S320030  02920 0020,1.170,2024,08,55000,2024,09,60000,1.09,1
Citrus,18E19S29      2C0D0 0020,1.570,2025,01,37000,2025,05,40000,1.08,4
Bay,30808124000,0.132,2025,01,200000,2025,04,216000,1.08,3
Citrus,18E19S280030  000L0 0131,1.237,2024,02,44000,2025,04,47000,1.07,14
Citrus,18E17S320020  02060 0010,4.086,2024,01,150000,2025,04,160000,1.07,15
Charlotte,412010456007,0.230,2024,02,23000,2025,04,24500,1.07,14
Bay,06716136010,0.713,2024,02,50000,2024,07,53200,1.06,5
Brevard,29 3625-KJ-1417-16,0.230,2024,02,33000,2025,04,35000,1.06,14
Brevard,29 3720-GQ-855-9,0.230,2024,05,36000,2024,11,38000,1.06,6
Citrus,18E20S130010  01000 0070,0.278,2024,06,24000,2024,07,25300,1.05,1
Brevard,29 3728-KQ-2037-1.01,0.230,2024,08,46500,2024,10,49000,1.05,2
Bradford,06001001000,0.000,2024,09,23100,2024,12,24300,1.05,3
Brevard,30 3815-01-26-15,0.090,2024,06,65000,2024,10,68000,1.05,4
Citrus,18E17S320030  03370 0010,1.117,2024,12,65000,2025,06,68000,1.05,6
Alachua,00256-002-004,3.370,2024,04,115000,2024,09,120200,1.05,5
Alachua,00512-001-000,0.390,2024,01,45000,2024,06,47000,1.04,5
Brevard,29 3623-KS-2600-21,0.460,2024,07,55000,2024,09,57000,1.04,2
Citrus,18E17S320030  00140 0070,1.062,2024,05,63500,2024,07,65400,1.03,2
Citrus,18E17S320030  00370 0010,1.147,2024,06,63500,2024,08,65100,1.03,2
Bay,11348404000,2.155,2024,02,635000,2025,01,650000,1.02,11
Charlotte,422329333005,0.269,2024,03,45000,2025,05,46000,1.02,14
Brevard,28 3624-KR-2465-5,0.240,2024,05,47700,2024,06,48000,1.01,1
Alachua,04227-100-009,3.010,2024,02,294500,2024,11,294500,1.00,9
Alachua,04346-102-086,0.220,2024,08,137000,2024,10,137000,1.00,2
Bay,32611919000,0.000,2024,07,175000,2025,04,175000,1.00,9
Bay,14612000000,0.436,2024,07,30000,2024,08,30000,1.00,1
Brevard,26 3622-YO-D-3,0.250,2024,08,160000,2024,09,160000,1.00,1
Charlotte,422311130026,0.165,2024,04,15000,2025,01,15000,1.00,9
Citrus,17E19S130010  000B0 0110,0.541,2024,03,16500,2024,10,16500,1.00,7
Charlotte,402309204011,0.649,2024,12,55000,2025,06,54500,0.99,6
Bay,07899586000,0.573,2024,02,92000,2025,03,89000,0.97,13
Charlotte,412301252014,1.250,2024,03,83000,2025,03,80000,0.96,12
Brevard,29 3716-GP-752-18,0.230,2024,04,49000,2024,10,47000,0.96,6
